1000,2010/5/17 9:00,2010/5/17 12:00
1000,2010/5/17 12:45,2010/5/17 17:45
1000,2010/5/18 9:00,2010/5/18 12:00
1000,2010/5/18 12:45,2010/5/18 17:45
1000,2010/5/19 9:00,2010/5/19 12:00
1000,2010/5/19 12:45,2010/5/19 17:45
1000,2010/5/20 9:00,2010/5/20 12:00
1000,2010/5/20 12:45,2010/5/20 17:45
1000,2010/5/21 12:45,2010/5/21 17:45
1000,2010/5/22 12:45,2010/5/22 17:45
1000,2010/5/23 12:45,2010/5/23 17:45
1000,2010/5/24 12:45,2010/5/24 17:45
1000,2010/5/25 12:45,2010/5/25 17:45
1000,2010/5/26 12:45,2010/5/26 17:45
1000,2010/5/27 12:45,2010/5/27 17:45
1000,2010/5/28 12:45,2010/5/28 17:45
1000,2010/5/29 12:45,2010/5/29 17:45
1000,2010/5/30 12:45,2010/5/30 17:45
1000,2010/5/31 12:45,2010/5/31 17:45
1000,2010/6/1 12:45,2010/6/1 17:45
1000,2010/6/2 12:45,2010/6/2 17:45
1000,2010/6/3 12:45,2010/6/3 17:45
1000,2010/6/4 12:45,2010/6/4 17:45
1000,2010/6/5 12:45,2010/6/5 17:45
1000,2010/6/6 12:45,2010/6/6 17:45
1000,2010/6/7 12:45,2010/6/7 17:45
1000,2010/6/8 12:45,2010/6/8 17:45
1000,2010/6/9 12:45,2010/6/9 17:45
1000,2010/6/10 12:45,2010/6/10 17:45
1000,2010/6/11 12:45,2010/6/11 17:45
1000,2010/6/12 12:45,2010/6/12 17:45
1000,2010/6/13 12:45,2010/6/13 17:45
1000,2010/6/14 12:45,2010/6/14 17:45
1000,2010/6/15 12:45,2010/6/15 17:45
1000,2010/6/16 12:45,2010/6/16 17:45
1000,2010/6/17 12:45,2010/6/17 17:45
1000,2010/6/18 12:45,2010/6/18 17:45
1000,2010/6/19 12:45,2010/6/19 17:45
1000,2010/6/20 12:45,2010/6/20 17:45
1000,2010/6/21 12:45,2010/6/21 17:45
1000,2010/6/22 12:45,2010/6/22 17:45
1000,2010/6/23 12:45,2010/6/23 17:45
1000,2010/6/24 12:45,2010/6/24 17:45
